Episodio,Entidade1,Relação,Entidade2
S4_mockingbird,Sansa,slaps,Robin
S4_mockingbird,Selyse,speaks with,Melisandre
S4_mockingbird,Tyrion,is approached by,Oberyn Martell
S4_oathkeeper,Alliser Thorne,admonishes,Jon
S4_oathkeeper,Bronn,implores,Jaime
S4_oathkeeper,Great Masters,reach,Dany
S4_oathkeeper,Jaime,finally visits,Tyrion
S4_oathkeeper,Jaime,is taking,Tyrion
S4_oathkeeper,Jaime,tasks,Brienne
S4_oathkeeper,Jaime,tells,Tyrion
S4_oathkeeper,Jaime,visits,Cersei
S4_oathkeeper,Lady Olenna,tells,Margaery
S4_oathkeeper,Locke,brings,Jon
S4_oathkeeper,Margaery,enters,Tommen
S4_oathkeeper,Olenna,states that,Tyrion
S4_oathkeeper,Rast,was taunting,Ghost
S4_oathkeeper,Sam,told,Jon
S4_oathkeeper,Samwell Tarly,is fretting about,Gilly
S4_oathkeeper,Sansa,accuses,Petyr Baelish
S4_oathkeeper,Sansa,defends,Tyrion
S4_oathkeeper,Thorne,to allow,Jon
S4_oathkeeper,Tyrion,named,Jaime
S4_oathkeeper,Unsullied,to infiltrate,Meereen
S4_the_children,Brienne,goes to search for,Arya
S4_the_children,Brienne,implores,Arya
S4_the_children,Brienne,tells,Arya
S4_the_children,Calla,admires,Daenerys
S4_the_children,Cersei,approaches,Tywin
S4_the_children,Cersei,asserts that,Tyrion
S4_the_children,Cersei,finds,Jaime
S4_the_children,Daenerys,meets with,Missandei
S4_the_children,Faceless Man,known as,Jaqen H'ghar
S4_the_children,Fennesz,originally stayed in,Master Mighdal
S4_the_children,First Men,entered,Westeros
S4_the_children,Grey Worm,reports that,Drogon
S4_the_children,Hound,immediately accuses,Brienne
S4_the_children,Hound,to mock,Brienne
S4_the_children,Jaime,helped,Tyrion
S4_the_children,Jon,also urges,Stannis
S4_the_children,Jon,came to parley with,Mance
S4_the_children,Jon,responds that,Mance
S4_the_children,Jon,says that,Aemon
S4_the_children,Jon,then takes,Ygritte
S4_the_children,Jon,to kill,Qhorin
S4_the_children,Mance,brings,Jon
S4_the_children,Mance,calls,Jon
S4_the_children,Meera,begs,Jojen
S4_the_children,Qhorin Halfhand,to get,Jon
S4_the_children,Qhorin,tricked,Mance
S4_the_children,Qyburn,replies,Oh
S4_the_children,Qyburn,stand over,Ser Gregor Clegane
S4_the_children,Samwell,then aids,Aemon
S4_the_children,Ser Barristan Selmy,warns,Daenerys
S4_the_children,Stannis,proclaims that,Eddard
S4_the_children,Stannis,regard,Jon
S4_the_children,Three-eyed Raven,says that,Jojen
S4_the_children,Tormund,asks if,Jon
S4_the_children,Tormund,implores,Jon
S4_the_children,Tormund,says that,Ygritte
S4_the_children,Tywin,angrily declares that,Tyrion
S4_the_children,Tywin,dares,Tyrion
S4_the_laws_of_gods_and_men,Daenerys,apologizes about,Drogon
S4_the_laws_of_gods_and_men,Jaime,asks,Tywin
S4_the_laws_of_gods_and_men,Jaime,has,Tyrion
S4_the_laws_of_gods_and_men,Jaime,speaks with,Tyrion
S4_the_laws_of_gods_and_men,Lord Varys,informs,Tywin
S4_the_laws_of_gods_and_men,Meereenese Great Masters,crucified on,Daenerys
S4_the_laws_of_gods_and_men,Ramsay,allows,Reek
S4_the_laws_of_gods_and_men,Ramsay,now plans to assault,Moat Cailin
S4_the_laws_of_gods_and_men,Sansa,planned,Joffrey
S4_the_laws_of_gods_and_men,Ser Meryn,to escort,Tyrion
S4_the_laws_of_gods_and_men,Theon,tells,Yara
S4_the_laws_of_gods_and_men,Yara,learns of,Theon
S4_the_laws_of_gods_and_men,Yara,says,Theon
S4_the_laws_of_gods_and_men,Yara,see,Theon
S4_the_lion_and_the_rose,Bran Stark,had been warging into,Summer
S4_the_lion_and_the_rose,Bran,has,Hodor
S4_the_lion_and_the_rose,Brienne,presented before,King Joffrey
S4_the_lion_and_the_rose,Dontos Hollard,suddenly approaches,Sansa
S4_the_lion_and_the_rose,Joffrey,commands,Tyrion
S4_the_lion_and_the_rose,Joffrey,is accusing,Tyrion
S4_the_lion_and_the_rose,Kingsguard,to seize,Tyrion
S4_the_lion_and_the_rose,Margaery,serves,Joffrey
S4_the_lion_and_the_rose,Melisandre,does speak with,Shireen
S4_the_lion_and_the_rose,North,following,Robb Stark
S4_the_lion_and_the_rose,Ramsay,advocates killing,Jon
S4_the_lion_and_the_rose,Reek,suggests that,Jon Snow
S4_the_lion_and_the_rose,Riverlands,currently held by,Greyjoy
S4_the_lion_and_the_rose,Roose,gives,Ramsay
S4_the_lion_and_the_rose,Tyrion,discuss,Jaime
S4_the_lion_and_the_rose,Tyrion,finds,Varys
S4_the_lion_and_the_rose,Varys,divulges that,Shae
S4_the_mountain_and_the_viper,Baelish,visits,Sansa
S4_the_mountain_and_the_viper,Barristan,surmises,Jorah
S4_the_mountain_and_the_viper,Daenerys,asks whether,Missandei
S4_the_mountain_and_the_viper,Edd,try to comfort,Sam
S4_the_mountain_and_the_viper,M​ole 's Town,has arrived at,Castle Black
S4_the_mountain_and_the_viper,Oberyn,dismisses,Tyrion
S4_the_mountain_and_the_viper,Oberyn,repeatedly taunts,Gregor
S4_the_mountain_and_the_viper,Ramsay Snow,sends,Reek
S4_the_mountain_and_the_viper,Reek,accompany,Roose
S4_the_mountain_and_the_viper,Sam,hope that,Gilly
S4_the_mountain_and_the_viper,Sam,worries about,Gilly
S4_the_watchers_on_the_wall,Aemon,correctly guesses that,Sam
S4_the_watchers_on_the_wall,Alliser,needs,Janos
S4_the_watchers_on_the_wall,Gilly,begs,Sam
S4_the_watchers_on_the_wall,Gilly,wants,Sam
S4_the_watchers_on_the_wall,Jon,approaches,Ser Alliser Thorne
S4_the_watchers_on_the_wall,Jon,discusses with,Sam
S4_the_watchers_on_the_wall,Jon,looks at,Sam
S4_the_watchers_on_the_wall,Jon,prepares to leave via,Castle Black
S4_the_watchers_on_the_wall,Maester Aemon,finds,Sam
S4_the_watchers_on_the_wall,Mag Mar Tun Doh Weg,charges,Castle Black
S4_the_watchers_on_the_wall,Night 's Watch,have repelled,Mance Rayder
S4_the_watchers_on_the_wall,Sam,brings,Gilly​
S4_the_watchers_on_the_wall,Sam,is forced to leave,Pyp
S4_the_watchers_on_the_wall,Sam,promises,Gilly
S4_the_watchers_on_the_wall,Sam,roars at,Pyp
S4_the_watchers_on_the_wall,Sam,tells,Jon
S4_the_watchers_on_the_wall,Samwell Tarly,comforts,Pypar
S4_the_watchers_on_the_wall,Styr,mockingly replies that,Ygritte
S4_the_watchers_on_the_wall,Wall,to ask,Jon
S4_two_swords,Arya,takes,Needle
S4_two_swords,Arya,then kills,Polliver
S4_two_swords,Brienne,expects,Jaime
S4_two_swords,Brienne,tells,Margaery
S4_two_swords,Daenerys,speaks with,Missandei
S4_two_swords,Daenerys,strokes,Drogon
S4_two_swords,Jon,admits to killing,Qhorin Halfhand
S4_two_swords,Olenna,are interrupted by,Brienne of Tarth
S4_two_swords,Polliver,still has,Needle
S4_two_swords,Qhorin,wanted,Jon
S4_two_swords,Qyburn,are in,Cersei
S4_two_swords,Qyburn,asks,Cersei
S4_two_swords,Sam,had been sent to retrieve,Jon
S4_two_swords,Ser Jorah,tells,Daenerys
S4_two_swords,Slynt,calls for,Jon
S4_two_swords,Slynt,dismisses,Jon
S4_two_swords,Styr,suggests that,Tormund
S5_hardhome_(episode),Daenerys,decides,Tyrion
S5_hardhome_(episode),Daenerys,exiles,Jorah
S5_hardhome_(episode),Edd,approaches,Wun Wun
S5_hardhome_(episode),Grand Maester Pycelle,has summoned,Kevan Lannister
S5_hardhome_(episode),Jon,retrieves,Longclaw
S5_hardhome_(episode),Sam,reassures,Olly
S5_hardhome_(episode),Snow,defied,Stannis
S5_hardhome_(episode),Tyrion,assures,Daenerys
S5_hardhome_(episode),Tyrion,defends,Jorah
S5_high_sparrow_(episode),Baelish,subtly warns,Ramsay
S5_high_sparrow_(episode),Cersei,has,Qyburn
S5_high_sparrow_(episode),Cersei,stays in,King 's Landing
S5_high_sparrow_(episode),Jaqen,allows,Arya
S5_high_sparrow_(episode),Jon,declines,Stannis
S5_high_sparrow_(episode),Lord Commander Jon Snow,asks,Sam
S5_high_sparrow_(episode),Lord Commander Snow,assigns,Janos Slynt
S5_high_sparrow_(episode),Margaery,manipulates,Tommen
S5_high_sparrow_(episode),Red Priestess,evangelizes in,High Valyrian
S5_high_sparrow_(episode),Sansa Stark,is horrified to see,Moat Cailin
S5_high_sparrow_(episode),Sansa,graciously accepts,Roose
S5_high_sparrow_(episode),Slynt,refuses,Jon
S5_high_sparrow_(episode),Stannis Baratheon,sees,Jon
S5_high_sparrow_(episode),Stannis,suggests appointing,Alliser Thorne
S5_high_sparrow_(episode),Varys,finally arrive at,Volantis
S5_high_sparrow_(episode),Varys,nearly loses,Tyrion
S5_high_sparrow_(episode),Varys,tells,Tyrion
S5_high_sparrow_(episode),Waif,using,Arya Stark
S5_kill_the_boy,Aemon,tells,Jon
S5_kill_the_boy,Brienne,believes that,Sansa
S5_kill_the_boy,Daenerys,asks,Missandei
S5_kill_the_boy,Davos,suggests waiting until,Jon
S5_kill_the_boy,Jon Snow,enters to speak with,Aemon
S5_kill_the_boy,Jon,then meets with,Tormund Giantsbane
S5_kill_the_boy,Jorah,tells,Tyrion
S5_kill_the_boy,King 's Landing,passes through,Winterfell
S5_kill_the_boy,Myranda,discuss,Ramsay
S5_kill_the_boy,Myranda,leads,Sansa
S5_kill_the_boy,Podrick,thinks that,Sansa
S5_kill_the_boy,Ramsay,then suggests that,Reek
S5_kill_the_boy,Reek,helps,Ramsay
S5_kill_the_boy,Sam,praises,Daenerys
S5_kill_the_boy,Stannis,tells,Ser Davos
S5_mother's_mercy,Arya,kills,Meryn Trant Ser Meryn Trant
S5_mother's_mercy,Brienne of Tarth,was warned by,Podrick Payne of Stannis
S5_mother's_mercy,Ellaria Sand,kisses,Myrcella
S5_mother's_mercy,Ellaria,kisses,Myrcella
S5_mother's_mercy,Jon Snow,quickly rushes with,Thorne
S5_mother's_mercy,Jon Snow,tells,Sam
S5_mother's_mercy,Myranda,tells,Sansa
S5_mother's_mercy,Myranda,threatens,Sansa
S5_mother's_mercy,Qyburn,suggests,Cersei
S5_mother's_mercy,Sam,asks,Jon
S5_mother's_mercy,Septa Unella,enters,Cersei
S5_mother's_mercy,Ser Davos,pressures,Melisandre
S5_mother's_mercy,Stannis,prepares to march on,Winterfell
S5_mother's_mercy,Tyene Sand,flirts with,Bronn
S5_mother's_mercy,Tyrion,watches,Daario
S5_mother's_mercy,Waif,now has,Jaqen
S5_sons_of_the_harpy_(episode),Bronn,says that if,Jaime
S5_sons_of_the_harpy_(episode),Daenerys,asks if,Barristan
S5_sons_of_the_harpy_(episode),Dany,speaks with,Ser Barristan
S5_sons_of_the_harpy_(episode),Faith Militant,to apprehend,Loras Tyrell
S5_sons_of_the_harpy_(episode),Hizdahr,again beseeches,Daenerys
S5_sons_of_the_harpy_(episode),Jaime,curtly says that,Varys
S5_sons_of_the_harpy_(episode),Jaime,forced,Varys
S5_sons_of_the_harpy_(episode),Jaime,mistakenly identifies as,Estermont
S5_sons_of_the_harpy_(episode),Jorah,smacks,Tyrion
S5_sons_of_the_harpy_(episode),Jorah,was spying on,Daenerys
S5_sons_of_the_harpy_(episode),Lancel,proclaims that,Loras
S5_sons_of_the_harpy_(episode),Lannister,is in,Dorne
S5_sons_of_the_harpy_(episode),Littlefinger,kisses,Sansa
S5_sons_of_the_harpy_(episode),Rhaegar,chose,Lyanna
S5_sons_of_the_harpy_(episode),Sansa,never knew,Lyanna
S5_sons_of_the_harpy_(episode),Selyse,is worried that,Stannis
S5_sons_of_the_harpy_(episode),Stannis,insists that,Shireen
S5_sons_of_the_harpy_(episode),Tyrion,urges for,Jorah
S5_the_dance_of_dragons,Areo,brings,Ellaria
S5_the_dance_of_dragons,Areo,leads,Bronn
S5_the_dance_of_dragons,Bronn,agreed to let,Bronn
S5_the_dance_of_dragons,Daario,evacuate,Daenerys
S5_the_dance_of_dragons,Daario,verbally spars with,Hizdahr
S5_the_dance_of_dragons,Daenerys,takes,Missandei
S5_the_dance_of_dragons,Davos,to read,Shireen
S5_the_dance_of_dragons,Doran,asks if,Tommen
S5_the_dance_of_dragons,Doran,asks,Jaime
S5_the_dance_of_dragons,Doran,gives,Ellaria
S5_the_dance_of_dragons,Dorne,to abduct,Myrcella
S5_the_dance_of_dragons,Ellaria,then finds,Jaime
S5_the_dance_of_dragons,Hizdahr,indicates that,Daenerys
S5_the_dance_of_dragons,Jaime,asks if,Doran
S5_the_dance_of_dragons,Jaime,finds,Doran
S5_the_dance_of_dragons,Jaime,politely insists that,Bronn
S5_the_dance_of_dragons,Jon,reunites with,Samwell Tarly
S5_the_dance_of_dragons,Myrcella,cuddling with,Trystane
S5_the_dance_of_dragons,Sons,rally enough to attack,Drogon
S5_the_dance_of_dragons,Stannis,sends,Davos
S5_the_dance_of_dragons,Tyrion,rescues,Missandei
S5_the_dance_of_dragons,Water Dancer,eventually knocks,Jorah
S5_the_gift_(episode),Aemon,gravely warns,Gilly
S5_the_gift_(episode),Cersei,meets with,Margaery
S5_the_gift_(episode),Doran,has,Areo Hotah
S5_the_gift_(episode),Gilly,visit,Maester Aemon
S5_the_gift_(episode),Jorah,is sold by,Malko
S5_the_gift_(episode),Sam,eulogizes,Aemon
S5_the_gift_(episode),Sam,gives,Jon
S5_the_gift_(episode),Sansa,is taken to see,Ramsay
S5_the_gift_(episode),Stannis,asks,Melisandre
S5_the_house_of_black_and_white,Arya,arrives in,Braavos
S5_the_house_of_black_and_white,Arya,knew as,Jaqen
S5_the_house_of_black_and_white,Barristan Selmy,tells,Daenarys
S5_the_house_of_black_and_white,Brienne,escapes with,Podrick
S5_the_house_of_black_and_white,Brienne,tells,Podrick
S5_the_house_of_black_and_white,Daenerys,promises,Ser Barristan
S5_the_house_of_black_and_white,Doran,discuss,Oberyn
S5_the_house_of_black_and_white,Gilly,to harm,Stannis
S5_the_house_of_black_and_white,Janos Slynt,nominates,Alliser Thorne
S5_the_house_of_black_and_white,Jon,tells,Stannis
S5_the_house_of_black_and_white,Kevan,is disgusted at,Cersei
S5_the_house_of_black_and_white,Lollys,reminds,Bronn
S5_the_house_of_black_and_white,Pycelle,is outraged at,Qyburn
S5_the_house_of_black_and_white,Sand Snakes,are siding with,Ellaria
S5_the_house_of_black_and_white,Sansa,denies,Brienne
S5_the_house_of_black_and_white,Stannis,makes,Jon
S5_the_house_of_black_and_white,Tommen,has declared,Qyburn
S5_the_house_of_black_and_white,Varys,depart,Pentos
S5_the_wars_to_come,Cersei,is approached by,Lancel Lannister
S5_the_wars_to_come,Daenerys,attempts to visit,Viserion
S5_the_wars_to_come,Jon,is discomfited by,Melisandre
S5_the_wars_to_come,Jon,to convince,Mance Rayder
S5_the_wars_to_come,Littlefinger,told,Lord Royce
S5_the_wars_to_come,Lord Yohn Royce,has agreed to take,Robin
S5_the_wars_to_come,Mance,stands before,Stannis
S5_the_wars_to_come,Meereen,to support,Daenerys Targaryen
S5_the_wars_to_come,Olly,are interrupted by,Melisandre
S5_the_wars_to_come,Sansa,witnesses,Baelish
S5_the_wars_to_come,Varys,offers,Tyrion
S5_the_wars_to_come,Varys,states that,Westeros
S5_the_wars_to_come,Wise Masters,have asked that,Daenerys
S5_unbowed_unbent_unbroken,Doran,asks if,Areo
S5_unbowed_unbent_unbroken,Faceless Man,then asks,Arya
S5_unbowed_unbent_unbroken,High Sparrow,interrogates,Loras
S5_unbowed_unbent_unbroken,High Sparrow,then calls in,Olyvar
S5_unbowed_unbent_unbroken,Jaime,tries to convince,Myrcella
S5_unbowed_unbent_unbroken,Jaqen H'ghar,comes to test,Arya
S5_unbowed_unbent_unbroken,Jorah,pulls,Tyrion
S5_unbowed_unbent_unbroken,Lancel,warns,Baelish
S5_unbowed_unbent_unbroken,Myrcella,kissing,Trystane
S5_unbowed_unbent_unbroken,Olenna,sadly regards,Cersei
S5_unbowed_unbent_unbroken,Olenna,tries to talks,Cersei
S5_unbowed_unbent_unbroken,Olenna,warns,Cersei
S5_unbowed_unbent_unbroken,Olyvar,also admits that,Margaery
S5_unbowed_unbent_unbroken,Petyr Baelish,arrives in,King 's Landing
S5_unbowed_unbent_unbroken,Reek,comes to fetch,Sansa
S5_unbowed_unbent_unbroken,Reek,gives,Sansa
S5_unbowed_unbent_unbroken,Sansa,is joined by,Myranda
S5_unbowed_unbent_unbroken,Sansa,startles,Myranda
S5_unbowed_unbent_unbroken,Tyrion,is surprised that,Jorah
S5_unbowed_unbent_unbroken,Waif,simply tells,Arya
S5_unbowed_unbent_unbroken,Waif,tells,Arya
S5_unbowed_unbent_unbroken,Waif,then asks,Arya
S6_book_of_the_stranger,Brienne,warns,Melisandre
S6_book_of_the_stranger,Council,has planned to make,Margaery
S6_book_of_the_stranger,Daario,smashes,Aggo
S6_book_of_the_stranger,Daenerys,learns that,Ornela
S6_book_of_the_stranger,Davos Seaworth,asks whether,Melisandre
S6_book_of_the_stranger,Eddison Tollett,helps,Jon Snow
S6_book_of_the_stranger,Grand Maester Pycelle,advising King,Tommen
S6_book_of_the_stranger,High Priestess of the Dosh Khaleen,gives,Daenerys
S6_book_of_the_stranger,Iggo,tackles,Jorah
S6_book_of_the_stranger,Jon,resolves to take,Ramsay
S6_book_of_the_stranger,Kevan,says that,Tommen
S6_book_of_the_stranger,Littlefinger,has control over,Robin
S6_book_of_the_stranger,Margaery,tells,Loras
S6_book_of_the_stranger,Missandei,defends,Daenerys
S6_book_of_the_stranger,Missandei,warn,Tyrion
S6_book_of_the_stranger,Olenna,send,House Tyrell
S6_book_of_the_stranger,Osha,had seduced,Theon
S6_book_of_the_stranger,Osha,is brought before,Ramsay Bolton
S6_book_of_the_stranger,Petyr,accuses,Royce
S6_book_of_the_stranger,Royce,accuses,Baelish
S6_book_of_the_stranger,Starks,left,Winterfell
S6_home,Balon,tells,Euron
S6_home,Bran,finds,Meera Reed
S6_home,Brienne,fills,Sansa
S6_home,Davos,visits,Melisandre
S6_home,Edd,returns with,Tormund Giantsbane
S6_home,Euron,then says that,Balon
S6_home,Grey Worm,tell,Tyrion
S6_home,High Sparrow,explains that if,Jaime
S6_home,Jaime,advises,Tommen
S6_home,Leaf,states that,Bran
S6_home,Night 's Watch,stands behind,Thorne
S6_home,Ramsay,suggests storming,Castle Black
S6_home,Roose,warns,Ramsay
S6_home,Tommen,believes that,Cersei
S6_home,Tommen,has ordered that,Cersei
S6_home,Tommen,talk about,Myrcella
S6_home,Tormund,inspects,Jon
S6_oathbreaker,Bowen,says,Jon
S6_oathbreaker,Bran,runs to follow,Eddard
S6_oathbreaker,Cersei,accuses,Kevan
S6_oathbreaker,Cersei,wants,Qyburn
S6_oathbreaker,Davos,asks,Jon
S6_oathbreaker,Davos,asks,Melisandre
S6_oathbreaker,Dayne,simply wishes,Stark
S6_oathbreaker,Eddard,tells,Ser Arthur Dayne
S6_oathbreaker,Gilly,promises to follow,Samwell
S6_oathbreaker,Grand Maester Pycelle,complains about,Qyburn
S6_oathbreaker,High Sparrow,replies that,Cersei
S6_oathbreaker,Jaqen,approaches,Arya
S6_oathbreaker,Jaqen,asks,Arya
S6_oathbreaker,Jaqen,then leads,Arya
S6_oathbreaker,Jon,looks at,Olly
S6_oathbreaker,Jon,then says,Edd
S6_oathbreaker,Lord of Light,brought,Jon
S6_oathbreaker,Northmen,led by,Eddard Stark
S6_oathbreaker,Pycelle,admits that,Ser Gerold Hightower
S6_oathbreaker,Ramsay,asks,Smalljon
S6_oathbreaker,Samwell,assures,Gilly
S6_oathbreaker,Ser Arthur,duels,Eddard
S6_oathbreaker,Ser Arthur,states that,Rhaegar
S6_oathbreaker,Tyrion,asks,Varys
S6_oathbreaker,Varys,assures,Vala
S6_oathbreaker,Waif,then interrogates,Arya
S6_oathbreaker,Winterfell,to meet,Ramsay Bolton
S6_oathbreaker,Yarwyck,pleads,Jon
S6_the_door,Aeron Greyjoy,then leads,Euron
S6_the_door,Bran,hears,Meera
S6_the_door,Bran,is at,Winterfell
S6_the_door,Brynden Tully,has recaptured,Riverrun
S6_the_door,Euron,admits killing,Balon
S6_the_door,Hodor,to carry,Bran
S6_the_door,Jorah,then departs while,Daenerys
S6_the_door,Meera,continues to yell,Hold
S6_the_door,Meera,desperately tries to get,Bran
S6_the_door,Meera,starts yelling at,Bran
S6_the_door,Moat Cailin,to aid,Sansa
S6_the_door,Raven,says,No
S6_the_door,Sansa,furiously confronts,Petyr Baelish
S6_the_door,Sansa,presents,Jon
S6_the_door,Sansa,refuses,Littlefinger
S6_the_door,Sansa,reveals,Brynden
S6_the_door,Sansa,subsequently tasks,Brienne
S6_the_door,Three-eyed Raven,shows,Bran
S6_the_door,Three-eyed Raven,tells,Bran
S6_the_door,Tyrion,invites,Kinvara
S6_the_door,Waif,continues to drill,Arya
S6_the_door,Wylis,notices,Bran
S6_the_door,Yara,was commanding,Ironborn
S6_the_red_woman,Cersei,asks,Jaime
S6_the_red_woman,Davos,asks if,Edd
S6_the_red_woman,Doran,begs,Ellaria
S6_the_red_woman,Ellaria,helps,Doran
S6_the_red_woman,Ellaria,stabs,Doran
S6_the_red_woman,Ellaria,states that,Doran
S6_the_red_woman,Jon,fighting in,Winterfell
S6_the_red_woman,Jorah,are looking for,Daenerys
S6_the_red_woman,Nymeria,arrive on,Prince Trystane
S6_the_red_woman,Nymeria,offers,Trystane
S6_the_red_woman,Roose Bolton,meets with,Ramsay
S6_the_red_woman,Sansa,accepts,Brienne
S6_the_red_woman,Ser Davos,finds,Jon
S6_the_red_woman,Ser Davos,tells,Thorne
S6_the_red_woman,Theon,hugging,Sansa
S6_the_red_woman,Tyene,stabs,Areo Hotah
S6_the_red_woman,Tyrion,walking through,Meereen
